lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,2.0,1.0,0.0,0.5495302677154541,0.6936888098716736,0.9657899737358093,0.6036787629127502
2.0,3.0,0.0,0.0,0.047280311584472656,0.005861086305230856,0.3639141023159027,0.001802891492843628
3.0,4.0,0.0,0.0,0.05409346893429756,0.009981757029891014,0.37074679136276245,0.00863558053970337
4.0,5.0,0.0,0.0,0.04114006087183952,0.005064036697149277,0.36515671014785767,0.003045499324798584
5.0,6.0,0.0,0.0,0.04346858337521553,0.007222851272672415,0.36562278866767883,0.003511577844619751
6.0,7.0,0.0,0.0,0.040496546775102615,0.0064696455374360085,0.36293888092041016,0.0008276700973510742
7.0,8.0,0.0,0.0,0.04343167692422867,0.007313210051506758,0.3661108911037445,0.003999680280685425
8.0,9.0,0.0,0.0,0.04414974898099899,0.00712501909583807,0.36490392684936523,0.0027927160263061523
9.0,10.0,0.0,0.0,0.04422105848789215,0.006800422444939613,0.36341938376426697,0.0013081729412078857
10.0,11.0,0.0,0.0,0.046732351183891296,0.009133806452155113,0.3701833486557007,0.008072137832641602
11.0,12.0,0.0,0.0,0.046882759779691696,0.008751419372856617,0.3676266670227051,0.005515456199645996
12.0,13.0,0.0,0.0,0.049507010728120804,0.00934411771595478,0.366980642080307,0.004869431257247925
13.0,14.0,0.0,0.0,0.048407454043626785,0.00934216845780611,0.36909520626068115,0.00698399543762207
14.0,15.0,0.0,0.0,0.05132024362683296,0.011974700726568699,0.36650028824806213,0.004389077425003052
15.0,16.0,0.0,0.0,0.04963221400976181,0.009912624955177307,0.36537230014801025,0.003261089324951172
16.0,17.0,0.0,0.0,0.050453223288059235,0.010577311739325523,0.366179496049881,0.004068285226821899
17.0,18.0,0.0,0.0,0.04953298717737198,0.00920006725937128,0.36499640345573425,0.002885192632675171
18.0,19.0,0.0,0.0,0.053781941533088684,0.012049290351569653,0.3669666647911072,0.004855453968048096
19.0,20.0,0.0,0.0,0.053686194121837616,0.011563632637262344,0.3707791864871979,0.008667975664138794
20.0,21.0,0.0,0.0,0.055502504110336304,0.0125497505068779,0.3701731860637665,0.008061975240707397
21.0,22.0,0.0,0.0,0.05242805555462837,0.01046347338706255,0.36571094393730164,0.0035997331142425537
22.0,23.0,0.0,0.0,0.053758181631565094,0.011865579523146152,0.36737188696861267,0.005260676145553589
23.0,24.0,0.0,0.0,0.0551733560860157,0.011007217690348625,0.36201217770576477,-9.903311729431152e-05
24.0,25.0,0.0,0.0,0.055285222828388214,0.012404968030750751,0.3654002547264099,0.00328904390335083
25.0,26.0,0.0,0.0,0.053017668426036835,0.010202453471720219,0.36869001388549805,0.006578803062438965
26.0,27.0,0.0,0.0,0.0560636892914772,0.01346559077501297,0.3725833296775818,0.010472118854522705
27.0,28.0,0.0,0.0,0.05149898678064346,0.009844069369137287,0.3668364882469177,0.004725277423858643
28.0,29.0,0.0,0.0,0.04907197132706642,0.009132065810263157,0.36469948291778564,0.0025882720947265625
29.0,30.0,0.0,0.0,0.046702221035957336,0.008066689595580101,0.3630591332912445,0.0009479224681854248
30.0,31.0,0.0,0.0,0.044940270483493805,0.007547252811491489,0.36687639355659485,0.004765182733535767
31.0,32.0,0.0,0.0,0.04270206019282341,0.005542978644371033,0.365340918302536,0.0032297074794769287
32.0,33.0,0.0,0.0,0.04123814031481743,0.006000318564474583,0.36437690258026123,0.0022656917572021484
