lag,true_lag,is_within_ar_order,true_lag_within_ar_order,mean_abs_delta,mean_squared_delta,mse_to_conditional_mean_after_perturb,mse_increase_to_conditional_mean
1.0,2.0,1.0,1.0,0.9047932624816895,2.295231342315674,3.0422489643096924,2.214285910129547
2.0,3.0,1.0,1.0,0.6137856841087341,1.0366532802581787,1.818157434463501,0.9901943802833557
3.0,4.0,1.0,0.0,0.3582841157913208,0.35621318221092224,1.1804420948028564,0.3524790406227112
4.0,5.0,0.0,0.0,0.150302454829216,0.07726536691188812,0.9137795567512512,0.08581650257110596
5.0,6.0,0.0,0.0,0.15655164420604706,0.09110751748085022,0.9061216711997986,0.07815861701965332
6.0,7.0,0.0,0.0,0.13992178440093994,0.0656108409166336,0.8877866268157959,0.059823572635650635
7.0,8.0,0.0,0.0,0.14571957290172577,0.08156626671552658,0.8899726271629333,0.062009572982788086
8.0,9.0,0.0,0.0,0.12675870954990387,0.06473802030086517,0.8817843198776245,0.05382126569747925
9.0,10.0,0.0,0.0,0.12427961081266403,0.052749503403902054,0.878883421421051,0.05092036724090576
10.0,11.0,0.0,0.0,0.12096841633319855,0.06305986642837524,0.8852750062942505,0.057311952114105225
11.0,12.0,0.0,0.0,0.11598504334688187,0.0476633757352829,0.8675837516784668,0.03962069749832153
12.0,13.0,0.0,0.0,0.11400343477725983,0.0550507977604866,0.884522020816803,0.056558966636657715
13.0,14.0,0.0,0.0,0.10651756078004837,0.04073544964194298,0.8611567616462708,0.03319370746612549
14.0,15.0,0.0,0.0,0.10380401462316513,0.038081225007772446,0.8493461012840271,0.021383047103881836
15.0,16.0,0.0,0.0,0.10098414868116379,0.0331689827144146,0.8646494150161743,0.03668636083602905
16.0,17.0,0.0,0.0,0.09815999865531921,0.032584358006715775,0.8626063466072083,0.03464329242706299
17.0,18.0,0.0,0.0,0.10284824669361115,0.038394585251808167,0.8701339960098267,0.042170941829681396
18.0,19.0,0.0,0.0,0.1026892215013504,0.03779958188533783,0.8694836497306824,0.04152059555053711
19.0,20.0,0.0,0.0,0.10249011963605881,0.040745239704847336,0.8740763664245605,0.04611331224441528
20.0,21.0,0.0,0.0,0.10367421060800552,0.03782667964696884,0.8718215227127075,0.043858468532562256
21.0,22.0,0.0,0.0,0.10245919227600098,0.03972654789686203,0.8637086749076843,0.03574562072753906
22.0,23.0,0.0,0.0,0.10039075464010239,0.03725120425224304,0.8811421990394592,0.053179144859313965
23.0,24.0,0.0,0.0,0.10323530435562134,0.04099886119365692,0.8800081610679626,0.05204510688781738
24.0,25.0,0.0,0.0,0.10416164994239807,0.05335434898734093,0.89894038438797,0.07097733020782471
25.0,26.0,0.0,0.0,0.09802204370498657,0.036874134093523026,0.8637303113937378,0.03576725721359253
26.0,27.0,0.0,0.0,0.09392429888248444,0.040360771119594574,0.8698866963386536,0.0419236421585083
27.0,28.0,0.0,0.0,0.09232644736766815,0.02834305725991726,0.8525584936141968,0.024595439434051514
28.0,29.0,0.0,0.0,0.08867272734642029,0.02518060989677906,0.8659731149673462,0.03801006078720093
29.0,30.0,0.0,0.0,0.08228431642055511,0.02214980125427246,0.8658127784729004,0.03784972429275513
30.0,31.0,0.0,0.0,0.07590503245592117,0.018135100603103638,0.8548004627227783,0.026837408542633057
31.0,32.0,0.0,0.0,0.07167983800172806,0.0186526570469141,0.8523289561271667,0.024365901947021484
32.0,33.0,0.0,0.0,0.062315650284290314,0.011567403562366962,0.837522566318512,0.0095595121383667
