test_ar_order,layer,lag,is_within_ar_order,context_normalized_attention,raw_attention
1,0,1,1,0.43558430671691895,0.3767276406288147
1,0,2,0,0.31154876947402954,0.29388493299484253
1,0,3,0,0.2520805299282074,0.25023314356803894
1,0,4,0,0.0006891062948852777,0.0006842593429610133
1,0,5,0,4.0446757054724e-09,8.813280660824319e-10
1,0,6,0,7.617174252461112e-11,6.062262237344074e-12
1,0,7,0,8.45842146324216e-11,8.30666785356371e-11
1,0,8,0,4.046041279792689e-10,4.0459852135299457e-10
1,0,9,0,3.276948746133712e-06,3.2769489735073876e-06
1,0,10,0,2.1141046602224378e-07,2.1141046602224378e-07
1,0,11,0,1.0269646325824708e-13,1.0269616510264964e-13
1,0,12,0,6.663813336841494e-17,5.8016897200820824e-18
1,0,13,0,2.3018533693713872e-14,7.820140205967024e-15
1,0,14,0,4.624813552955853e-12,9.62760253464534e-13
1,0,15,0,2.585817782119193e-08,2.584428848706466e-08
1,0,16,0,1.0333668569728616e-06,1.033296825880825e-06
1,0,17,0,1.8822831293618947e-08,7.794842105113275e-09
1,0,18,0,1.954223080247175e-06,5.92427056744782e-07
1,0,19,0,5.768033020103758e-07,7.183250971820598e-08
1,0,20,0,1.0881645806648521e-07,2.5144091253537226e-08
1,0,21,0,1.0730643680290086e-06,1.0727781045716256e-06
1,0,22,0,8.898006490198895e-05,8.898006490198895e-05
1,0,23,0,1.445738018190923e-08,1.445738018190923e-08
1,0,24,0,1.871352854984241e-15,1.869741163043853e-15
1,0,25,0,2.6435660986368487e-19,1.8604947630012406e-19
1,0,26,0,3.1407588773398494e-18,3.1244491504069882e-18
1,0,27,0,2.904513584397854e-14,2.904513584397854e-14
1,0,28,0,4.6279920867808855e-11,4.6279920867808855e-11
1,0,29,0,1.0917955179257782e-13,1.091795585688414e-13
1,0,30,0,1.5826341646813375e-20,1.5826338415639108e-20
1,0,31,0,1.103138899037504e-25,6.192416973838618e-26
1,0,32,0,9.697865703520088e-22,9.603831464133826e-22
1,1,1,1,0.27550387382507324,0.2739095687866211
1,1,2,0,0.03679106757044792,0.03514980524778366
1,1,3,0,0.03556184098124504,0.034353431314229965
1,1,4,0,0.04324635490775108,0.04161582887172699
1,1,5,0,0.038857828825712204,0.03747629374265671
1,1,6,0,0.03603605180978775,0.03480646386742592
1,1,7,0,0.03282792121171951,0.031778205186128616
1,1,8,0,0.03181079775094986,0.03079301491379738
1,1,9,0,0.030326083302497864,0.029323359951376915
1,1,10,0,0.03117312490940094,0.030138887465000153
1,1,11,0,0.028400998562574387,0.027507618069648743
1,1,12,0,0.024862108752131462,0.024104109033942223
1,1,13,0,0.02158369868993759,0.021007826551795006
1,1,14,0,0.01925962045788765,0.01876259036362171
1,1,15,0,0.02027513086795807,0.019718417897820473
1,1,16,0,0.020466327667236328,0.01987827755510807
1,1,17,0,0.021123139187693596,0.020543033257126808
1,1,18,0,0.01926133781671524,0.018740687519311905
1,1,19,0,0.018770303577184677,0.018283894285559654
1,1,20,0,0.018304646015167236,0.01780235581099987
1,1,21,0,0.01961980015039444,0.019054386764764786
1,1,22,0,0.020799150690436363,0.020160259678959846
1,1,23,0,0.022288555279374123,0.021561281755566597
1,1,24,0,0.02090412937104702,0.02022315375506878
1,1,25,0,0.01843978278338909,0.01785767450928688
1,1,26,0,0.016972018405795097,0.016455944627523422
1,1,27,0,0.01557761337608099,0.01509696152061224
1,1,28,0,0.01572871208190918,0.015215093269944191
1,1,29,0,0.015103599987924099,0.014584948308765888
1,1,30,0,0.013274704106152058,0.012828545644879341
