test_ar_order,layer,top_lag,first_p_attention_mass,top_p_recall
1,0,1,0.43558430671691895,1.0
1,1,1,0.27550387382507324,1.0
2,0,1,0.7477270364761353,1.0
2,1,1,0.31372618675231934,0.5
3,0,1,0.99919193983078,1.0
3,1,1,0.3519342541694641,0.3333333333333333
4,0,1,0.9999038577079773,1.0
4,1,1,0.3967912793159485,0.75
5,0,1,0.9999050498008728,0.8
5,1,1,0.43882766366004944,0.8
6,0,1,0.9999058246612549,0.6666666666666666
6,1,1,0.47411656379699707,1.0
7,0,1,0.9999055862426758,0.5714285714285714
7,1,1,0.5109559297561646,1.0
