test_ar_order,layer,top_lag_by_distributed_attention,first_p_distributed_attention_mass,top_p_recall_by_distributed_attention,top_patch_label
1,0,1,0.22433564066886902,1.0,lags 1-2
1,1,1,0.044659651815891266,1.0,lags 1-2
2,0,1,0.45019280910491943,1.0,lags 1-2
2,1,1,0.09233469516038895,1.0,lags 1-2
3,0,1,0.583789050579071,1.0,lags 1-2
3,1,1,0.13757681846618652,1.0,lags 1-2
4,0,1,0.7200301885604858,1.0,lags 1-2
4,1,3,0.18214808404445648,1.0,lags 3-4
5,0,1,0.7320759296417236,0.8,lags 1-2
5,1,3,0.22409787774085999,1.0,lags 3-4
6,0,1,0.7407259345054626,0.6666666666666666,lags 1-2
6,1,3,0.2651120722293854,1.0,lags 3-4
7,0,1,0.7543568015098572,0.7142857142857143,lags 1-2
7,1,1,0.3023206293582916,1.0,lags 1-2
