test_ar_order,layer,patch_index,patch_label,patch_min_lag,patch_max_lag,patch_overlaps_true_support,context_normalized_attention
1,0,1,lags 29-32,29,32,0,0.0629771426320076
1,0,2,lags 25-28,25,28,0,0.05790579319000244
1,0,3,lags 21-24,21,24,0,0.05797979235649109
1,0,4,lags 17-20,17,20,0,0.06294457614421844
1,0,5,lags 13-16,13,16,0,0.07212289422750473
1,0,6,lags 9-12,9,12,0,0.0863455981016159
1,0,7,lags 5-8,5,8,0,0.28931725025177
1,0,8,lags 1-4,1,4,1,0.3104069232940674
1,1,1,lags 29-32,29,32,0,0.07032012194395065
1,1,2,lags 25-28,25,28,0,0.09305333346128464
1,1,3,lags 21-24,21,24,0,0.11256151646375656
1,1,4,lags 17-20,17,20,0,0.12310078740119934
1,1,5,lags 13-16,13,16,0,0.13034050166606903
1,1,6,lags 9-12,9,12,0,0.1357356756925583
1,1,7,lags 5-8,5,8,0,0.14525358378887177
1,1,8,lags 1-4,1,4,1,0.18963448703289032
2,0,1,lags 29-32,29,32,0,0.06334421783685684
2,0,2,lags 25-28,25,28,0,0.05789191275835037
2,0,3,lags 21-24,21,24,0,0.05681922286748886
2,0,4,lags 17-20,17,20,0,0.06287539005279541
2,0,5,lags 13-16,13,16,0,0.0717080682516098
2,0,6,lags 9-12,9,12,0,0.08477047085762024
2,0,7,lags 5-8,5,8,0,0.2894383668899536
2,0,8,lags 1-4,1,4,1,0.31315234303474426
2,1,1,lags 29-32,29,32,0,0.0707959309220314
2,1,2,lags 25-28,25,28,0,0.0925183817744255
2,1,3,lags 21-24,21,24,0,0.11166250705718994
2,1,4,lags 17-20,17,20,0,0.11945971846580505
2,1,5,lags 13-16,13,16,0,0.12659378349781036
2,1,6,lags 9-12,9,12,0,0.1349850296974182
2,1,7,lags 5-8,5,8,0,0.14769016206264496
2,1,8,lags 1-4,1,4,1,0.19629454612731934
3,0,1,lags 29-32,29,32,0,0.06449846923351288
3,0,2,lags 25-28,25,28,0,0.058078326284885406
3,0,3,lags 21-24,21,24,0,0.058836452662944794
3,0,4,lags 17-20,17,20,0,0.0625031366944313
3,0,5,lags 13-16,13,16,0,0.07116414606571198
3,0,6,lags 9-12,9,12,0,0.08231610059738159
3,0,7,lags 5-8,5,8,0,0.28964242339134216
3,0,8,lags 1-4,1,4,1,0.31296098232269287
3,1,1,lags 29-32,29,32,0,0.07133741676807404
3,1,2,lags 25-28,25,28,0,0.0929071456193924
3,1,3,lags 21-24,21,24,0,0.10894647240638733
3,1,4,lags 17-20,17,20,0,0.11812902241945267
3,1,5,lags 13-16,13,16,0,0.12676894664764404
3,1,6,lags 9-12,9,12,0,0.13519877195358276
3,1,7,lags 5-8,5,8,0,0.14943942427635193
3,1,8,lags 1-4,1,4,1,0.19727279245853424
4,0,1,lags 29-32,29,32,0,0.06533326208591461
4,0,2,lags 25-28,25,28,0,0.058548249304294586
4,0,3,lags 21-24,21,24,0,0.05580511316657066
4,0,4,lags 17-20,17,20,0,0.06151758134365082
4,0,5,lags 13-16,13,16,0,0.07038293778896332
4,0,6,lags 9-12,9,12,0,0.08500031381845474
4,0,7,lags 5-8,5,8,0,0.29039838910102844
4,0,8,lags 1-4,1,4,1,0.3130141496658325
4,1,1,lags 29-32,29,32,0,0.07001662999391556
4,1,2,lags 25-28,25,28,0,0.09182509034872055
4,1,3,lags 21-24,21,24,0,0.11076254397630692
4,1,4,lags 17-20,17,20,0,0.11826071888208389
4,1,5,lags 13-16,13,16,0,0.12554019689559937
4,1,6,lags 9-12,9,12,0,0.1342301219701767
4,1,7,lags 5-8,5,8,0,0.15266013145446777
4,1,8,lags 1-4,1,4,1,0.19670458137989044
5,0,1,lags 29-32,29,32,0,0.06478360295295715
5,0,2,lags 25-28,25,28,0,0.05536225065588951
5,0,3,lags 21-24,21,24,0,0.056576550006866455
5,0,4,lags 17-20,17,20,0,0.06350377947092056
5,0,5,lags 13-16,13,16,0,0.07080010324716568
5,0,6,lags 9-12,9,12,0,0.0844866931438446
5,0,7,lags 5-8,5,8,1,0.2901080846786499
5,0,8,lags 1-4,1,4,1,0.31437888741493225
5,1,1,lags 29-32,29,32,0,0.0701066330075264
5,1,2,lags 25-28,25,28,0,0.0914020836353302
5,1,3,lags 21-24,21,24,0,0.11024346202611923
5,1,4,lags 17-20,17,20,0,0.11786764115095139
5,1,5,lags 13-16,13,16,0,0.12589335441589355
5,1,6,lags 9-12,9,12,0,0.13584421575069427
5,1,7,lags 5-8,5,8,1,0.15161578357219696
5,1,8,lags 1-4,1,4,1,0.1970268040895462
6,0,1,lags 29-32,29,32,0,0.06433110684156418
6,0,2,lags 25-28,25,28,0,0.05792121961712837
6,0,3,lags 21-24,21,24,0,0.055270422250032425
6,0,4,lags 17-20,17,20,0,0.06365805119276047
6,0,5,lags 13-16,13,16,0,0.0712052434682846
6,0,6,lags 9-12,9,12,0,0.08467879146337509
6,0,7,lags 5-8,5,8,1,0.2899053394794464
6,0,8,lags 1-4,1,4,1,0.31302982568740845
6,1,1,lags 29-32,29,32,0,0.06986714154481888
6,1,2,lags 25-28,25,28,0,0.09131714701652527
6,1,3,lags 21-24,21,24,0,0.10923943668603897
6,1,4,lags 17-20,17,20,0,0.1188352182507515
6,1,5,lags 13-16,13,16,0,0.12670214474201202
6,1,6,lags 9-12,9,12,0,0.13637514412403107
6,1,7,lags 5-8,5,8,1,0.1535748988389969
6,1,8,lags 1-4,1,4,1,0.194088876247406
7,0,1,lags 29-32,29,32,0,0.06341832131147385
7,0,2,lags 25-28,25,28,0,0.05660144239664078
7,0,3,lags 21-24,21,24,0,0.05534286051988602
7,0,4,lags 17-20,17,20,0,0.062147099524736404
7,0,5,lags 13-16,13,16,0,0.07241622358560562
7,0,6,lags 9-12,9,12,0,0.08400929719209671
7,0,7,lags 5-8,5,8,1,0.29173457622528076
7,0,8,lags 1-4,1,4,1,0.31433019042015076
7,1,1,lags 29-32,29,32,0,0.06928543001413345
7,1,2,lags 25-28,25,28,0,0.09125940501689911
7,1,3,lags 21-24,21,24,0,0.11048885434865952
7,1,4,lags 17-20,17,20,0,0.11846626549959183
7,1,5,lags 13-16,13,16,0,0.12697778642177582
7,1,6,lags 9-12,9,12,0,0.13686759769916534
7,1,7,lags 5-8,5,8,1,0.15304727852344513
7,1,8,lags 1-4,1,4,1,0.1936074197292328
